,1_CSF3R,1_MPL,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_MYD88,3_GATA2,4_KIT,4_TET2,5_NPM1,7_BRAF,7_EZH2,8_RAD21,8_MYC,9_JAK2,10_PTEN,10_SMC3,11_WT1,11_ATM,11_KMT2A,11_CBL,12_ETV6,12_KRAS,12_PTPN11,13_FLT3,15_IDH2,17_TP53,17_NF1,17_STAT3,17_PPM1D,18_SETBP1,19_CALR,20_ASXL1,20_GNAS,21_RUNX1,21_ERG,21_U2AF1,22_CHEK2,X_ZRSR2,X_BCOR,X_KDM6A,X_SMC1A,X_STAG2,X_PHF6
2401,398,16,209,2462,553,81,114,115,1129,2770,6,1796,2780,520,163,178,222,435,523,466,2200,258,1063,222,699,594,11,797,3405,44,277,379,44,1105,76,658,175,615,206,976,1184,1460,192,970,360
2402,569,14,186,2681,481,143,318,301,687,2944,56,906,2335,494,504,80,87,865,536,471,2582,220,597,387,509,983,23,462,4492,28,401,731,10,1238,86,777,413,554,186,1244,1459,1084,334,1168,1096
2403,425,2,301,2639,425,53,93,79,897,2996,124,1375,2149,601,240,121,205,281,660,320,2594,206,1008,291,609,818,208,714,2814,26,165,682,286,1102,224,669,280,334,74,958,1107,1624,235,98,1106
2404,317,0,65,539,527,47,48,142,642,667,4,943,1535,103,256,13,108,180,163,112,1197,77,272,107,102,413,19,542,1750,3,128,385,28,767,1,228,259,27,3,96,731,552,177,582,480
2405,195,8,58,496,265,13,119,69,437,1555,45,771,1418,117,235,16,148,183,152,282,697,139,330,97,125,373,17,603,1390,8,203,265,31,449,58,203,178,282,65,314,362,738,160,254,470
2406,548,71,204,3489,785,270,265,199,1547,3213,106,1309,2759,876,818,218,256,645,440,485,2691,311,626,447,550,763,185,1561,4516,74,442,738,18,1301,106,628,418,761,110,967,1417,1560,226,1223,991
2407,422,205,219,822,482,15,299,0,683,2511,87,1426,2211,810,467,86,342,454,197,487,1217,182,611,347,339,491,86,481,2605,8,292,150,4,1040,52,551,81,749,55,361,684,1073,238,763,22
2408,266,1,108,1654,489,47,146,94,937,2569,53,1371,2101,412,411,4,211,350,369,322,1535,223,582,265,382,558,72,767,2562,7,358,421,24,716,58,444,256,207,72,851,802,976,135,865,539
2409,477,88,154,1806,415,118,131,65,474,2245,45,1282,2238,454,357,68,195,253,407,190,1512,244,681,236,313,539,27,929,2733,17,262,428,88,230,18,468,259,273,39,475,888,1039,119,398,724
2410,445,27,351,3276,704,156,273,65,1288,4109,124,2002,2901,714,737,197,308,464,528,369,2647,361,1012,372,650,948,184,1289,4794,112,382,875,104,1204,98,638,523,597,273,803,1253,1897,267,1129,718
2411,216,41,155,1301,524,60,129,251,966,2749,0,1065,1566,625,522,65,194,371,206,338,1882,161,632,71,328,428,81,1063,2891,9,159,424,203,652,63,222,208,508,80,845,911,719,242,921,636
2412,490,45,164,2594,889,73,250,189,923,3568,91,1931,3091,678,904,105,177,549,587,263,1907,470,568,453,734,751,139,996,4756,44,433,404,64,795,8,441,218,421,143,582,1148,730,172,779,767
2413,590,17,203,2863,595,43,430,96,932,2291,160,1479,1889,964,691,135,266,661,395,546,2106,398,529,631,546,839,102,1289,3961,49,223,842,2,1478,215,493,329,635,312,795,1759,1785,352,1413,1056
2414,220,0,61,1273,258,27,60,63,441,1330,90,366,777,284,318,53,126,201,171,91,1009,119,161,335,257,366,31,542,1603,15,121,297,28,511,76,314,108,63,25,259,12,192,138,112,422
2415,708,0,119,1187,164,96,272,20,902,1633,15,1693,2686,298,426,28,178,485,318,360,1540,382,609,395,339,544,50,1053,3225,22,271,551,74,51,216,584,73,390,206,625,273,493,163,678,641
2416,1687,7,607,5866,1371,427,676,360,2916,9272,312,4096,8389,1404,724,152,483,1508,1156,855,3833,932,2928,879,1289,2312,385,2615,9068,241,617,1704,212,2825,549,1518,759,1171,293,1938,3456,2849,504,2779,2039
2417,358,0,118,1616,428,88,128,121,851,2078,87,931,2767,469,116,36,108,375,183,271,1197,245,615,163,447,631,58,807,2351,26,235,447,14,519,63,305,260,457,124,425,742,529,183,107,685
2418,201,0,41,1092,344,30,137,107,650,1941,72,881,1478,164,206,23,85,164,217,199,1183,119,365,162,158,344,0,478,1514,15,72,348,38,357,37,131,79,176,60,409,180,534,88,474,4
2419,371,9,135,3012,690,118,185,2,1384,3332,204,2188,2197,882,333,2,347,480,624,758,2758,176,725,512,610,897,126,1261,4138,23,324,940,372,602,152,704,285,822,88,768,901,669,410,1084,968
2420,570,50,355,2917,954,53,237,217,1347,3208,53,2829,3760,794,631,227,197,608,529,561,2742,305,1690,356,887,753,89,1165,3990,58,514,777,106,1650,128,1035,634,669,443,679,1605,2549,177,1342,926
2421,1137,164,233,4164,995,224,411,110,1622,5476,351,1568,3073,1064,1044,113,648,928,790,734,3461,527,794,271,813,1175,260,2253,4989,74,526,1207,128,1786,290,990,517,653,181,1384,2322,1264,503,1754,1615
2422,148,22,27,1081,396,48,29,15,495,1006,32,532,1350,67,322,3,114,184,103,87,716,81,192,117,178,156,0,578,1078,6,110,296,12,4,27,101,103,245,14,473,535,352,164,492,319
2423,456,22,239,1676,661,121,203,158,867,2428,54,1379,1920,634,392,81,301,672,408,264,1793,143,474,282,350,690,146,1106,3341,43,187,720,138,802,30,596,336,163,129,625,1421,1098,317,1052,930
2424,211,22,57,492,227,59,94,50,281,1495,10,662,1163,243,193,15,42,162,120,126,982,157,268,120,154,242,0,318,1218,10,92,335,0,318,38,160,132,284,60,166,430,240,139,147,316
2425,761,0,339,3493,1130,270,225,145,1668,4874,183,1706,4573,732,1065,47,295,838,649,479,4187,500,1049,550,692,1170,80,1921,5540,68,406,1034,210,1532,136,655,363,976,163,1261,523,1927,354,1849,1356
2426,823,195,244,5187,1256,221,373,251,2766,6192,428,3635,6609,1325,1118,329,689,1053,779,761,4351,685,1652,1058,1178,1822,223,2822,8077,96,805,1163,152,1649,126,1855,424,852,373,2327,2664,2584,582,2832,2059
2427,463,37,111,1238,349,142,249,74,337,2385,100,644,2133,384,395,129,166,375,391,251,925,219,451,356,490,339,42,858,2243,24,300,500,52,384,51,782,293,207,113,649,981,298,268,748,744
2428,510,27,270,1089,272,143,356,196,1298,1817,104,1490,2966,285,519,78,324,434,556,339,1699,277,578,350,526,731,59,1005,3825,36,257,340,0,690,22,505,228,394,128,746,361,1496,213,1269,656
2429,121,70,74,928,152,23,49,54,495,1046,59,454,1546,340,239,26,77,101,162,337,971,139,438,108,207,248,24,617,1276,24,83,326,18,476,22,177,112,288,52,91,2,486,122,463,590
2430,195,0,37,1861,327,11,236,6,494,2765,0,1489,2043,672,639,210,78,223,368,155,1181,161,743,355,228,579,182,910,3113,4,352,851,38,777,254,275,205,139,88,642,595,1491,237,836,889
2431,646,80,120,3744,1209,285,490,296,2146,5052,170,2571,4193,938,862,158,542,853,830,430,2789,565,1833,830,887,849,321,1873,6860,86,403,579,86,1533,233,1236,608,1034,252,1206,2379,1273,560,909,1454
2432,364,0,257,2153,467,128,359,70,572,2405,17,1013,2603,421,432,105,195,301,398,201,1779,135,903,268,558,685,47,727,2629,77,235,533,10,709,40,300,194,337,188,517,1096,1096,139,693,1142
2433,299,66,180,1855,143,22,48,137,692,1587,149,1120,1642,541,361,98,275,340,276,367,1051,212,398,161,394,585,74,881,1695,29,306,206,48,449,106,425,276,32,56,515,952,836,249,375,589
2434,373,27,107,1672,491,139,101,63,877,2216,39,1071,2090,465,351,37,192,197,139,154,645,212,306,276,283,515,5,934,1742,29,229,399,20,384,34,195,203,168,69,174,212,734,272,633,774
2435,220,0,138,1365,285,51,63,44,657,2062,92,345,1637,197,415,74,85,112,261,426,1616,208,331,123,226,339,71,448,1469,0,44,129,82,652,32,404,145,339,55,381,823,796,157,439,550
2436,309,3,79,1208,441,47,91,47,760,2233,99,610,1317,285,345,57,118,342,214,248,1672,191,293,240,312,360,36,976,2512,13,212,348,10,641,120,469,194,487,149,481,653,813,221,761,742
2437,358,0,195,2289,613,147,217,137,1063,3917,332,1569,3394,417,447,43,203,595,210,470,2034,309,1055,404,269,735,42,807,3635,31,207,740,2,921,258,484,172,457,215,699,1637,1213,350,1006,1093
2438,685,0,138,2753,544,155,257,0,840,2366,193,1493,2984,529,682,42,136,562,686,380,2285,31,899,388,361,930,75,1145,2502,41,231,834,61,611,226,681,385,805,95,804,1299,1521,296,1077,977
2439,103,57,134,669,222,42,137,34,497,2320,164,814,1087,280,277,81,183,304,335,155,1228,62,182,231,124,484,17,627,1938,33,18,296,24,587,98,267,220,213,73,317,660,592,174,494,79
2440,154,2,136,2730,643,111,274,171,1051,1504,243,1022,3794,664,600,70,161,566,343,119,2556,163,501,491,561,920,57,1097,3209,43,216,738,0,978,122,543,161,619,147,976,1231,1754,450,1164,1057
2441,259,41,235,1666,332,128,56,45,643,1964,76,1150,2006,22,433,22,152,450,266,362,1649,122,363,82,531,719,15,485,2016,13,55,513,36,547,30,310,183,436,190,91,925,633,149,624,751
2442,285,0,149,1466,603,52,133,107,902,1698,169,833,1635,376,281,75,134,400,288,272,1342,235,193,341,336,712,40,800,2124,27,212,362,70,567,74,335,250,387,135,747,894,1033,191,493,717
2443,255,7,200,1190,362,72,59,70,743,1637,45,881,1834,194,274,90,198,260,212,278,1323,159,388,307,306,561,109,686,1742,22,174,462,24,342,38,243,176,340,113,411,462,808,178,392,567
2444,813,0,207,2308,438,214,269,261,1241,3036,71,1699,3522,795,422,107,383,525,680,367,1270,266,788,329,731,1059,131,816,3937,22,372,754,198,790,105,794,435,582,194,1419,1155,1848,330,1005,939
2445,356,0,168,1453,353,31,38,52,345,1606,53,752,1325,690,555,45,281,184,299,458,1733,214,292,113,323,410,22,1295,2268,21,211,369,134,718,36,400,210,591,45,731,747,1055,4,460,677
2446,1312,4,245,3686,408,279,553,161,1536,4993,267,2752,5387,1079,857,201,329,413,607,292,3288,635,1407,659,701,1159,339,1752,6511,89,445,1035,48,1819,196,1887,341,848,491,1118,2030,2200,365,1573,1343
2447,275,6,175,1249,557,62,66,58,1014,3116,242,683,2251,572,475,2,139,186,30,363,1677,123,518,135,231,484,84,763,1570,30,96,668,109,798,11,224,272,667,41,368,890,30,323,642,689
2448,524,40,207,1319,624,124,269,175,758,3448,148,1491,2551,678,494,76,217,241,359,323,1885,284,774,387,494,761,190,925,2965,58,323,479,111,1073,108,503,259,432,147,874,889,1112,298,619,910
2449,618,82,163,2071,515,3,124,84,938,2964,26,1230,2067,331,480,120,196,145,484,360,2012,368,637,213,471,609,15,979,2854,32,102,514,14,705,40,379,371,463,70,752,1011,603,269,954,689
2450,220,57,87,1128,271,17,49,119,592,981,60,837,1594,437,253,12,130,203,141,180,589,43,293,170,200,357,38,504,1590,15,132,171,14,505,90,278,85,273,10,346,626,557,8,497,421
2451,276,12,72,1101,360,20,41,23,700,1110,9,911,1523,348,161,52,154,223,296,185,1086,134,366,308,88,415,26,640,1942,27,94,229,4,287,67,447,101,93,18,280,281,600,101,367,500
2452,210,0,58,913,209,53,83,35,393,635,13,570,1156,226,127,68,57,243,84,172,461,56,280,142,202,270,63,524,1409,54,36,346,76,324,109,222,65,160,48,210,515,486,77,385,331
2453,327,69,114,1465,329,90,165,114,526,1212,135,501,1004,479,304,108,29,309,297,223,1426,189,190,35,335,424,51,702,1488,53,265,262,38,623,81,261,169,330,74,428,712,168,252,456,773
2454,1252,0,221,4276,1178,200,507,235,2494,5216,146,3221,6061,1101,454,220,670,971,892,629,4374,657,1981,797,1057,1165,352,1879,7289,56,432,1292,195,1559,268,758,568,661,502,1945,2643,2850,718,1621,1500
2455,374,0,155,1522,621,110,57,76,839,2107,133,1278,2414,410,396,56,141,299,323,132,1385,172,787,328,284,546,34,1122,2783,36,183,581,11,821,175,264,187,494,179,540,1181,907,80,744,609
2456,250,18,53,1607,285,51,59,100,723,1903,91,670,1364,265,335,11,149,203,182,181,1314,63,458,208,179,343,61,606,1731,16,95,260,94,254,16,312,126,479,44,478,558,761,196,283,316
2457,1288,162,555,4247,994,296,696,262,2316,6429,96,3698,5576,1497,1201,272,451,1125,479,406,3640,518,1383,915,1060,1879,97,1490,7990,60,693,1370,239,1945,389,1324,309,1145,94,1326,2746,2105,591,2492,2189
2458,161,0,47,999,281,61,49,16,440,867,22,655,1098,272,344,87,60,206,128,203,718,149,349,91,132,258,8,372,1724,21,142,219,4,289,13,167,76,185,45,343,217,728,237,515,310
2459,370,21,156,1449,912,231,376,82,1362,2213,121,2091,3853,714,503,92,448,445,417,302,2255,396,984,362,516,1071,118,1222,3436,42,271,591,84,823,25,671,178,595,162,815,1409,1603,497,1356,1170
2460,285,3,74,1453,583,67,121,9,265,2079,84,1207,2179,544,239,42,151,166,321,194,1899,195,548,120,205,521,53,734,1960,0,179,705,44,306,39,274,197,198,47,81,1009,680,180,640,539
2461,521,4,401,2526,563,182,324,91,1402,3462,206,2118,4040,899,710,125,362,662,400,530,2826,536,995,489,754,1153,181,1721,5965,57,424,954,154,1538,119,904,301,983,200,1055,1782,1952,309,1600,1390
2462,438,0,59,1877,776,191,332,63,975,3158,90,1731,2594,392,411,26,341,425,266,173,1795,384,549,445,227,644,11,1107,2811,25,194,584,2,739,7,247,190,366,48,575,842,502,203,918,1008
2463,250,1,154,1529,496,127,176,111,679,2329,294,1457,2585,659,417,58,30,291,352,165,1283,37,411,333,382,423,65,392,1952,10,131,446,21,407,78,286,201,185,32,731,1090,507,265,818,406
2464,265,0,111,1641,188,52,174,75,922,2226,142,584,1175,460,442,30,179,286,259,374,1492,90,373,569,321,599,72,816,2598,3,155,528,6,735,80,513,315,498,118,575,873,1056,289,634,693
2465,258,0,280,1645,414,54,83,111,1039,1338,314,601,1240,693,326,88,122,379,424,289,1594,193,348,294,189,659,21,906,2643,9,162,662,18,324,70,289,269,687,53,634,941,455,284,695,799
2466,765,0,446,4561,1143,205,358,240,1069,6021,295,2867,4626,1318,667,101,331,869,595,531,3832,338,1219,452,973,1302,152,1704,4010,55,482,1236,14,1824,154,678,672,1019,132,816,1312,2556,378,970,1336
2467,671,7,222,3683,1095,240,0,98,1740,4036,303,3052,3582,1328,393,204,366,920,594,468,2281,496,1233,372,825,1556,178,1621,3906,73,671,1348,58,1118,185,531,318,391,11,1230,2167,2304,497,1860,1001
2468,296,12,181,1059,474,30,92,43,742,1118,0,523,1673,553,249,23,120,275,252,178,1240,75,158,260,162,374,51,443,1867,21,89,465,34,531,41,145,205,336,46,429,152,629,102,611,77
2469,1196,120,503,4826,491,261,323,237,2088,2741,464,2677,6529,1388,939,257,704,954,143,562,4054,473,1119,957,824,1202,322,2114,5736,162,561,1397,234,1355,287,1246,736,668,335,1849,1828,2134,450,2112,1409
2470,517,79,296,2499,813,84,325,93,1475,3641,169,1892,2460,435,706,43,94,470,423,725,2957,261,782,456,521,915,103,1674,3870,18,271,595,24,856,202,556,361,652,163,816,984,1215,457,922,1418
2471,698,0,162,2051,655,130,339,120,836,2610,126,924,1402,604,564,178,291,484,269,293,1630,145,444,437,298,693,241,837,3031,72,167,614,101,1032,59,672,316,286,219,600,1108,956,357,852,701
2472,355,42,218,1318,611,12,139,38,895,2543,64,1045,2319,509,480,43,169,371,331,459,1575,116,633,364,209,556,41,1022,1407,2,188,459,164,761,96,341,220,274,70,413,1,1193,197,459,794
2473,965,37,102,2719,858,225,188,55,1542,1159,85,1076,3282,737,674,119,395,255,490,198,1242,454,1125,577,817,849,51,1318,4307,107,377,725,234,1213,146,976,292,680,199,53,1713,994,633,1481,1075
2474,406,2,105,2000,834,100,186,134,1069,1712,182,1051,1825,577,461,6,45,461,309,303,2376,200,357,318,286,643,87,1154,3029,14,301,642,146,948,15,331,203,492,96,768,1094,1176,300,442,630
2475,279,4,38,791,483,0,56,154,457,1175,35,1137,2043,239,179,31,98,196,231,366,614,231,448,115,256,322,5,784,2063,2,281,486,16,328,0,158,163,111,107,97,679,1096,242,645,740
2476,232,0,135,1352,289,40,73,5,638,1872,38,1103,2033,404,178,10,84,311,165,216,826,266,475,272,133,452,50,682,2488,9,171,389,8,819,81,110,196,401,36,415,532,477,319,469,688
2477,442,13,271,1483,346,36,3,239,1297,2625,57,538,1122,520,464,18,54,293,274,334,3302,307,315,188,336,508,88,1147,2796,28,200,569,14,950,44,503,222,380,90,4,1732,365,157,694,820
2478,216,0,37,226,359,7,148,135,318,1421,39,810,1373,190,166,124,50,115,199,154,853,91,336,159,100,313,29,405,1541,45,156,395,67,214,49,336,126,301,146,280,458,659,53,364,165
2479,743,89,232,2588,751,147,318,257,1365,3920,126,1681,4069,623,704,86,373,576,611,342,2156,254,941,389,448,896,126,1722,4245,51,419,899,118,984,132,758,588,511,173,1033,1896,1521,267,1150,1003
2480,516,0,289,2270,786,31,323,70,994,2994,294,801,647,818,545,31,175,563,462,548,1525,394,339,579,627,900,78,1377,2702,19,325,874,42,1089,124,605,409,612,40,795,1263,1488,288,1184,1132
2481,665,0,141,2999,750,157,218,132,1260,3181,86,1139,2070,753,386,139,372,594,664,302,3014,498,628,579,592,873,125,1131,4129,46,176,673,134,1208,64,993,315,599,158,939,1539,1425,478,1264,1141
2482,176,0,77,1335,275,1,122,0,508,1635,0,854,2109,394,134,23,109,117,83,230,977,104,257,204,146,283,16,505,922,4,60,317,0,521,33,93,102,141,73,193,707,570,106,571,330
2483,530,167,322,3550,1416,225,394,26,1797,3633,281,2454,4629,1012,725,73,288,846,394,671,2236,484,1391,796,569,1348,227,1836,5694,20,335,1143,110,1279,121,843,465,990,169,1149,2315,1982,233,1824,1132
2484,145,7,36,797,244,33,75,73,294,915,17,630,985,273,225,6,80,197,76,95,828,136,294,136,173,195,39,400,1309,14,91,171,68,385,5,112,125,184,42,405,479,323,100,548,267
2485,689,2,205,1457,751,153,162,208,1065,3318,127,1762,3400,667,472,136,250,466,738,289,1888,198,572,330,613,465,171,821,3513,62,234,484,150,502,25,265,126,263,294,918,1446,1015,105,917,793
2486,703,0,531,4899,1054,301,513,203,2310,5358,240,2124,3497,1171,665,66,470,1019,870,495,3898,610,1849,922,513,1461,176,1198,6228,104,493,973,148,1788,88,869,364,367,227,1439,1384,1242,4,2258,1816
2487,593,140,293,2902,720,124,341,201,2059,5513,134,1719,3621,1348,841,114,76,697,664,716,2803,480,965,237,800,1148,189,1645,4782,6,457,1111,134,1013,197,657,252,664,218,1114,1455,1788,700,695,1147
2488,517,87,219,3086,678,77,280,320,1234,4350,222,651,1925,544,773,48,226,593,446,330,3277,227,510,304,463,832,81,1373,2974,6,365,477,34,1305,70,360,369,549,130,787,1623,1648,258,1026,1256
2489,707,148,250,3248,843,50,21,10,858,2174,94,1873,2802,753,464,34,297,617,633,529,1638,352,1003,356,784,889,217,1626,5224,59,387,701,142,1284,163,1097,503,681,126,1119,983,1870,277,117,1095
2490,248,14,112,695,302,28,132,54,634,1890,97,935,1429,258,291,78,147,320,247,172,1108,240,523,185,265,439,103,561,1909,30,138,442,66,499,54,442,233,197,74,552,698,912,152,626,370
2491,358,40,133,2733,853,170,113,218,1472,4431,225,2065,4485,1022,539,114,378,771,530,456,1754,378,743,473,537,822,140,1551,4697,56,342,668,22,1287,81,455,424,587,168,875,1107,1413,430,1456,1068
2492,314,0,244,2661,602,92,126,105,855,3569,409,948,1988,792,778,40,327,633,239,250,3055,350,194,194,331,604,106,1308,4263,8,428,849,343,1155,24,397,340,412,126,638,1396,753,247,1345,857
2493,414,0,203,3146,993,88,310,51,1497,3340,8,1601,3627,892,650,95,173,688,651,466,1220,137,1480,434,344,497,212,1066,4761,82,296,563,134,1047,96,451,482,480,188,850,157,1068,607,1152,916
2494,1788,28,400,5579,1643,441,387,258,2475,8379,242,4967,6958,1573,586,212,853,1250,1188,752,6062,1046,1924,1393,1017,1777,90,2734,10282,27,537,1460,148,1708,273,1750,874,410,353,1081,3530,3010,1013,3129,2649
2495,257,16,175,2206,657,149,226,158,1451,2958,150,1584,2637,316,337,103,264,766,383,646,2424,284,544,307,609,410,92,1217,2225,53,292,753,170,1014,295,520,267,888,60,690,1662,1420,223,716,827
2496,998,64,420,4300,876,175,489,284,1447,5792,172,3253,3856,1072,973,196,179,1168,790,756,4438,468,1228,667,1021,1350,221,1729,5559,89,525,1170,158,1845,341,1449,693,544,327,1650,1526,2387,512,1826,1039
2497,482,0,193,2107,512,127,172,30,900,2991,0,1656,3085,398,433,65,105,530,178,211,890,300,753,438,295,495,111,974,2167,11,332,450,30,917,136,384,212,360,60,153,12,223,333,1052,743
2498,183,0,79,855,221,44,133,41,417,1313,63,579,1195,206,213,19,158,176,75,106,582,30,314,185,331,240,46,252,1250,31,88,262,0,470,61,178,142,206,86,123,548,382,110,317,354
2499,210,19,237,864,420,27,176,104,556,1997,15,423,1655,290,267,43,90,141,175,454,1260,141,409,231,221,360,43,292,1635,13,86,172,50,683,42,345,139,181,52,518,635,692,24,607,427
2500,282,0,102,1158,361,74,143,65,529,1332,56,473,608,213,120,68,27,180,145,127,1030,129,147,57,251,429,98,384,1449,9,200,190,0,179,58,404,81,196,89,531,336,463,134,178,295
2501,527,58,118,2713,505,164,401,208,1500,4002,266,1037,1721,961,666,228,338,709,448,319,2472,404,361,798,598,970,82,1637,3943,46,196,603,4,993,129,742,406,782,129,1008,1496,1352,475,912,888
2502,308,0,165,1693,251,55,63,12,562,1417,122,602,1941,424,493,19,107,335,186,342,1297,150,483,179,116,391,64,512,1964,8,257,539,128,341,128,249,239,559,30,343,740,186,152,747,212
2503,1345,51,614,6141,1248,392,1118,174,2759,7244,505,3396,9096,1649,1171,348,158,1487,758,1098,6503,718,1485,1111,1418,1780,128,2983,7392,127,473,1763,94,1450,534,1329,745,1370,301,1785,3884,3203,45,2514,2850
2504,274,0,67,556,175,48,103,48,409,1218,9,371,1232,234,124,55,49,330,174,86,721,131,246,240,219,297,14,322,1543,52,141,262,24,359,43,137,54,72,63,360,508,479,93,433,322
2505,526,75,140,2175,547,101,150,27,812,381,101,1553,1577,367,330,11,171,529,298,252,1774,174,702,418,451,668,115,932,2215,19,127,498,130,754,66,538,245,234,49,520,1153,964,197,675,648
2506,708,163,120,3118,1042,149,150,167,1946,3552,277,2420,3251,953,384,165,299,514,368,452,2432,447,799,679,584,1116,106,1318,3636,67,298,697,56,486,138,698,310,350,367,995,1259,1878,348,899,1261
2507,174,11,107,760,245,97,27,18,407,900,61,558,760,330,270,36,115,142,169,229,850,178,240,143,143,225,43,486,1143,15,80,190,98,157,36,268,94,255,80,224,518,314,148,353,286
2508,374,2,95,1046,611,18,228,3,753,2564,35,1744,2741,413,301,112,74,477,310,484,1531,341,598,415,285,500,65,681,2743,1,255,548,104,895,145,595,195,537,99,517,842,1197,192,879,581
2509,570,0,156,1959,413,67,144,147,688,1953,46,1192,1833,369,354,231,106,412,264,219,1201,165,789,271,451,478,137,716,2192,23,121,534,38,703,105,540,201,247,135,623,1036,946,260,572,353
2510,322,31,134,1519,636,109,125,150,700,2368,0,1491,2679,484,386,57,249,259,335,384,1824,276,680,253,199,459,25,884,2648,35,149,501,0,332,153,197,236,0,53,502,1061,1014,290,965,857
2511,260,3,128,1794,386,43,207,193,899,2725,16,1063,2398,401,459,9,123,399,149,175,572,84,450,196,309,470,70,982,2534,3,280,403,36,621,19,223,271,279,72,427,1011,481,307,571,694
2512,399,63,84,1957,247,52,161,154,831,2550,179,1072,2530,492,179,43,77,262,315,172,1283,341,557,274,220,264,37,766,2405,7,291,425,131,753,99,485,147,119,67,75,1040,804,237,969,639
2513,702,0,431,2322,586,85,431,65,1367,5020,265,1197,2127,651,554,52,158,903,581,497,2489,386,482,751,995,963,98,1497,5008,26,547,1099,98,1128,201,775,401,580,335,1218,1572,1536,337,1100,952
2514,501,198,101,2226,702,65,115,144,1435,3224,43,1678,3404,719,628,74,113,300,375,227,2232,339,683,452,550,407,199,1308,3541,47,234,967,148,1352,123,734,382,615,72,737,226,862,323,963,944
2515,552,23,315,1885,932,234,531,187,1739,4378,190,2326,4361,985,531,82,312,807,630,678,3203,417,998,342,444,1035,47,1738,4767,78,69,808,38,1259,78,1042,569,887,140,1227,2051,1160,299,1237,1157
2516,245,0,74,1326,362,59,65,37,730,1624,101,437,1734,232,207,18,135,158,174,120,793,119,424,88,271,266,13,464,1338,26,148,262,6,310,74,276,109,189,38,384,423,394,235,703,298
2517,240,0,274,2693,936,100,209,189,1297,4009,0,789,1737,966,549,122,250,656,312,612,2341,242,375,503,624,783,70,1520,3867,64,281,777,90,1053,97,692,306,713,141,846,1407,1668,72,1039,1301
2518,613,146,357,4442,892,199,533,250,1531,5779,378,3115,4646,1411,705,187,549,1162,819,416,2853,616,1633,303,727,1226,187,2107,5345,80,470,1079,66,1784,119,1205,473,815,296,1474,1876,1437,171,1470,1669
2519,693,118,156,2303,759,56,262,83,1138,2929,0,1599,3683,342,240,161,196,509,475,382,1846,282,774,376,374,821,221,1152,3663,6,251,769,191,1104,90,580,181,274,232,597,1385,1281,544,878,1138
2520,364,210,210,1842,427,70,165,305,939,2609,73,967,2292,261,326,45,124,383,223,244,2013,163,410,226,235,294,50,775,2648,18,142,527,66,216,214,507,167,463,128,826,138,1090,187,579,939
2521,2354,177,991,7475,1698,390,713,651,2978,10650,381,5155,10301,1697,1539,260,794,1549,1271,996,6671,1273,3382,1315,1668,1935,181,3796,12591,173,1096,2647,313,2365,563,2211,779,1465,472,3171,4366,4189,1125,3446,2990
2522,368,28,160,868,434,23,130,69,906,2970,99,932,2251,515,363,47,161,171,219,192,1355,288,684,252,298,456,33,972,3233,15,145,594,22,444,110,402,240,501,53,543,0,676,28,529,849
2523,819,92,254,3453,725,142,602,175,1591,4098,147,2035,4451,999,467,108,230,701,641,438,2489,370,1161,383,624,709,282,1295,2744,17,201,724,20,1092,115,1024,239,562,215,993,1327,1368,260,1176,1215
2524,247,22,151,1545,658,71,95,147,768,2145,78,786,1343,451,347,26,207,320,208,446,1285,104,372,179,228,549,50,986,2389,12,147,445,225,557,73,199,171,371,48,345,663,586,137,611,767
2525,503,0,239,969,651,59,192,60,1186,3089,392,1373,3006,324,370,91,137,313,363,463,1785,169,947,224,431,609,91,970,2300,25,97,810,36,838,1,354,393,162,33,277,1188,1147,275,424,561
2526,277,35,85,1508,242,83,166,30,178,1106,164,1091,2032,308,259,49,130,282,320,219,1446,120,427,422,339,333,33,375,2089,11,117,448,124,477,127,475,190,283,94,466,713,519,208,648,658
2527,376,10,60,1297,56,47,52,60,663,1669,38,577,1661,308,229,4,103,289,228,211,746,94,533,195,277,515,48,530,1589,13,102,266,70,377,84,86,48,2,131,370,794,437,83,702,465
2528,875,13,247,3766,1540,199,275,363,2117,6546,409,2212,4505,1038,966,130,187,495,575,622,3789,475,1293,760,607,1248,212,1783,5768,23,594,907,221,610,59,983,694,498,113,769,2695,1683,557,1673,1495
2529,319,113,148,1880,864,48,78,76,954,3292,236,1400,2425,554,405,23,237,396,407,230,2072,166,402,277,324,710,78,901,3042,21,110,369,118,768,124,438,275,655,75,526,208,857,243,880,724
2530,1444,4,646,4753,1418,274,1075,354,3120,9100,553,4510,6508,1508,1419,524,781,1230,1411,812,5944,986,2658,1083,1218,2511,415,3734,10375,119,756,1707,271,2429,449,2155,1188,1225,425,2648,4201,3732,708,2947,2466
2531,197,31,119,864,84,12,259,51,371,2043,46,392,835,191,253,55,92,186,243,130,1064,60,263,122,203,313,18,641,1592,36,162,457,10,331,88,415,256,423,72,381,702,850,185,444,329
2532,880,163,356,2028,1273,110,549,92,1485,3699,372,2614,5570,772,648,179,27,1291,1186,534,3310,171,1478,698,977,985,136,1953,6575,27,247,626,2,2045,276,878,597,1090,246,1932,2132,1143,506,1178,1320
2533,829,61,425,3487,816,141,186,49,1220,3180,0,1677,1892,586,1041,95,284,749,337,448,2820,435,933,407,459,1087,199,1663,3637,18,292,886,184,1709,78,752,414,304,151,782,2007,1455,363,1268,1027
